nb_clusteur,silhouette_score
8,0.04110741018502962
9,0.04327960608678336
10,0.04512339645280329
11,0.046303251219574675
12,0.040420720794196965
13,0.041030859506540646
14,0.0418075896833695
15,0.042683362526201384
16,0.04282746250542949
17,0.040474665984771035
18,0.04064652047006699
19,0.04136741143227845
20,0.04149119596233586
21,0.03500334442868747
22,0.03349080706161082
23,0.035135672277336355
24,0.03587156525433918
25,0.037195060687895146
26,0.032721007154669114
27,0.034650912296770316
28,0.033538523127644576
29,0.03532292074354337
30,0.03602890779943843
31,0.03776458664538717
32,0.03883781535266852
33,0.039726751919094146
34,0.04047232512566459
35,0.03960360201876315
36,0.041852698189219266
37,0.04186515178327637
38,0.04245984542943561
39,0.04139683846340835
40,0.042035931361012156
41,0.04186346591396607
42,0.042212684008336235
43,0.04313281145428198
44,0.044227065713750395
45,0.04475126910168527
46,0.04525840239526004
47,0.04540885735338721
48,0.0467398659153792
49,0.04601342062545267
50,0.045467350756678925
51,0.045857434164758536
52,0.04586587355018524
53,0.04688048200238643
54,0.04463382846383801
55,0.04522806662565684
56,0.04638608628980126
57,0.046855031640374634
58,0.04607326595880057
59,0.04576336548928239
60,0.045234683013971516
61,0.044604604949577666
62,0.04568415116479484
63,0.04586640940621855
64,0.04525045242572888
65,0.045846247807393256
66,0.04624733497888216
67,0.04581203777131951
68,0.04537596981914291
69,0.04583267418214094
70,0.04567868088977729
71,0.04666092439121464
72,0.0468482821679057
73,0.0473770328026135
74,0.0480006758495826
75,0.04855596515442165
76,0.0481439039175774
77,0.04861088074000099
78,0.0485701447282742
79,0.04905088789246295
80,0.04934855511802487
81,0.04901630293144524
82,0.04932420902568395
83,0.04924885587064001
84,0.049462675924932926
85,0.05000922248951564
86,0.05044924934943829
87,0.05090709493226622
88,0.051372643346032205
89,0.05144253326534875
90,0.05087265095530223
91,0.05157450910748059
92,0.05148132872506814
93,0.051952423634764565
94,0.05206475704014427
95,0.05244218481099069
96,0.05263805893162061
97,0.05303145454479227
98,0.053539962822993156
99,0.05353167187793101
